team,rank,zone_id,zone_name,police_station,centroid_latitude,centroid_longitude,recommended_window,predicted_violation_count,predicted_impact_units,impact_score,risk_level,model_confidence,top_reason,recommended_action
Team 1,1,Z-3_1,BTP040 - Elite Junction,Upparpet,12.976737333812434,77.57847713571864,"07 Apr, 10:00 AM–12:00 PM",39.26745063353059,22.485347314893946,100,Critical,0.94,High recent violation volume,Deploy an enforcement team before the expected peak
Team 2,2,Z4_2,BTP051 - Safina Plaza Junction,Shivajinagar,12.981228889687388,77.61074115570645,"07 Apr, 10:00 AM–12:00 PM",61.845318893890294,20.17279746082884,100,Critical,0.94,High recent violation volume,Deploy an enforcement team before the expected peak
Team 3,3,Z-3_-2,BTP082 - KR Market Junction,City Market,12.963262666187568,77.57847713571864,"07 Apr, 10:00 AM–12:00 PM",8.548709590552983,9.708878756855214,99,Critical,0.9150405894834678,High recent violation volume,Deploy an enforcement team before the expected peak
Team 4,4,Z-4_1,BTP045 - Danvanthri Road Junction,Upparpet,12.976737333812434,77.57386799000611,"07 Apr, 10:00 AM–12:00 PM",8.502739255038593,14.583109813616078,100,Critical,0.8994730271419953,High recent violation volume,Deploy an enforcement team before the expected peak
Team 5,5,Z-9_6,BTP027 - Modi Bridge Junction,Rajajinagar,12.99919511318721,77.5508222614434,"07 Apr, 10:00 AM–12:00 PM",7.87195191913863,11.05107137580943,99,Critical,0.8962086285373477,High recent violation volume,Deploy an enforcement team before the expected peak
Team 6,6,Z-3_0,BTP044 - Sagar Theatre Junction,Upparpet,12.972245777937479,77.57847713571864,"07 Apr, 10:00 AM–12:00 PM",7.851749643459686,10.65461814925072,99,Critical,0.8709323054093036,High recent violation volume,Deploy an enforcement team before the expected peak
Team 7,7,Z-1_22,Sahakar Nagar Road,Kodigehalli,13.07106000718649,77.58769542714373,"07 Apr, 10:00 AM–12:00 PM",16.862851706311613,2.5539801791947485,97,Critical,0.8822503457111418,High recent violation volume,Deploy an enforcement team before the expected peak
Team 8,8,Z3_2,BTP051 - Safina Plaza Junction,Shivajinagar,12.981228889687388,77.6061320099939,"07 Apr, 10:00 AM–12:00 PM",21.711067039821874,11.39448547617344,99,Critical,0.8518846560644058,Junction obstruction pattern,Clear the junction approaches and monitor turning lanes
